date,text,NumberLikes,NumberComments,NumberViews
2021-08-09,"Popular in Singapore's hawker centres, this Hokkien Mee is a dish well-loved across the nation. Recreate this local favourite from the comforts of your own home!
.
For the full recipe, click the link in our bio.
.
.
#AsianFoodNetwork #AFNRecipes #Food #FoodPorn #Yummy #Foodie #Delicious #Yum #Homemade #foodstagram
.
https://bit.ly/3j5Nc9K,",414,6,0
2021-08-07,"Add a twist to the classic Biryani with fresh, juicy shrimps! This Prawn Biryani is definitely worth all the tears from the onion chopping. Serve it with a refreshing side of Raita salad for the perfect meal! For the full recipe, click the link in our bio.
.
.
.
#AsianFoodNetwork #AFNRecipes #Food #FoodPorn #Yummy #Foodie #Delicious #Yum #Homemade #foodstagram
.
https://bit.ly/3rR8agS,",276,1,0
2021-08-04,"It's Watermelon day! Celebrate this day with a quick thirst-quenching iced watermelon milk with the simplest ingredients. Recipe link in bio
.
.
.
.
#AsianFoodNetwork #AFNRecipes #Food #FoodPorn #Yummy #Foodie #Delicious #Yum #Homemade #foodstagram 
.
https://bit.ly/3yvFpZi,",243,0,0
2021-07-31,"Leave it to our community cook Dennis Policarpio to make a stew so good it won the top prize at our first AFN Food Awards. He talks his cooking inspiration, and tips for making that winning recipe - a Filipino classic Pork Pata Kare-Kare that's very, very good.
.
Snag this winner at the link in bio 
.
.
.
.
#AsianFoodNetwork #AFNRecipes #Food #FoodPorn #Yummy #Foodie #Delicious #Yum #Homemade #foodstagram
.
https://bit.ly/3ye7N1Z,",245,7,0
2021-07-31,"This Laksa Shirataki Fried Noodles is a keto-friendly option for one of Malaysia’s and Singapore’s street food favourites! With shirataki noodles drenched in a soup made of coconut milk and sambal, this umami-filled dish will leave an unforgettable taste in your mouth.
.
For the full recipe, click the link in our bio
.
.
#AsianFoodNetwork #AFNRecipes #Food #FoodPorn #Yummy #Foodie #Delicious #Yum #Homemade #foodstagram
. 
https://bit.ly/2THsg0l,",277,1,0
2021-07-30,"Get your carbs and protein fix all in one dish thanks to this Stuffed Salmon with Furikake. And all you need are two steps to make this incredibly convenient dish: 1) assemble and 2) air-fry it!
.
For the full recipe, click the link in our bio
.
.
#AsianFoodNetwork #AFNRecipes #Food #FoodPorn #Yummy #Foodie #Delicious #Yum #Homemade #foodstagram
.
https://bit.ly/3x9uqDG,",118,1,0
2021-07-30,"A spicy and sour twist might be what you need to spice up your regular grilled cheese sandwich! This Kimchi Grilled Cheese recipe is a pleasant twist to the much-loved dish.
.
For the full recipe, click the link in our bio
.
.
#AsianFoodNetwork #AFNRecipes #Food #FoodPorn #Yummy #Foodie #Delicious #Yum #Homemade #foodstagram
.
https://bit.ly/379grmw,",271,4,0
2021-07-29,"From baking to frying, the right airfryer can make your culinary life so much easier. So we’ve made a list on how you can choose the perfect one to suit your needs!
.
For the full recipe, click the link in our bio
.
.
#AsianFoodNetwork #AFNRecipes #Food #FoodPorn #Yummy #Foodie #Delicious #Yum #Homemade #foodstagram
.
https://bit.ly/3xcMQU3,",222,2,0
2021-07-29,"As a snack or a side dish, this Air Fryer Corn Ribs is guaranteed to be incredibly delicious. Each bite is covered in creamy mayonnaise and feta cheese then topped off with fresh parsley and a dash of chilli powder!
.
For the full recipe, click the link in our bio
.
.
#AsianFoodNetwork #AFNRecipes #Food #FoodPorn #Yummy #Foodie #Delicious #Yum #Homemade #foodstagram
.
https://bit.ly/3zKbw7S,",281,4,0
2021-07-28,"Forget serving an egg on your instant noodles and turn your favourite instant noodles into an omelette instead! This Dadar Mie Instan recipe is an easy way to create the perfect light snack.
.
For the full recipe, click the link in our bio
.
.
#AsianFoodNetwork #AFNRecipes #Food #FoodPorn #Yummy #Foodie #Delicious #Yum #Homemade #foodstagram
.
https://bit.ly/2VjA08Y,",174,0,0
